Folder,tSNE1,tSNE2,Outcome
2GYX_DB262,28.725166,-18.17267,TP
2HOP,-30.264442,0.29534167,TN
2K4L_Genistein,10.062882,1.2222776,FN
2LWK,23.248571,27.06252,TN
2NZ4,-15.850553,9.562371,TN
2O3V,-33.655655,-22.181564,TN
2XNW,0.8408471,31.056965,FP
316D,29.062866,6.8604417,FP
3E5C,-26.621687,-4.5824723,TP
3FO6,-28.899183,-1.9566251,FP
3M8R,30.711271,17.4611,TN
3MUV,-11.544034,-6.490671,FP
3QSC,17.299551,-30.51549,TP
3S4P_26,37.823376,-22.354298,TN
3T5E,-16.610489,12.402223,TP
3TZR_Compd_37,-0.57867694,13.283963,TN
3U08_DB1944,13.292726,15.187849,FP
454D,7.5307336,17.997005,TP
4FXM,-4.6977572,9.616963,FP
4GXY,16.947948,8.292847,TP
4K31_Paromomycin,-7.2848873,14.709697,FP
4LVX,10.108236,0.9816419,TN
4Q9Q_FBI,11.584846,11.106158,TP
4TS2_DBrHBI,-33.03618,6.907954,FN
4U8A_cmpnd_7,-25.579063,-4.064819,TP
4YB0,50.101906,4.486501,TP
4ZNP,-15.461772,0.52384967,FP
5LWJ,-26.874765,-11.735213,TP
5V0J,21.118488,27.153433,TN
5XI1_Amiloride,26.337454,35.872253,FP
5XI1_Tetracycline_Hcl,-35.587574,8.018919,TP
6DLT_Guanidine,-7.3368506,-20.362486,TN
6DMD,29.985012,13.605303,TP
6E1V,-5.224615,-0.5167831,TP
6GZK,-3.6729925,23.179146,TP
6N5S,2.0818958,-2.9478433,TN
6QN3,-14.398979,0.4454253,TN
"6UBU_N6-cyclopropyl-9H-purine-2,6-diamine",-0.7420338,-25.465824,TN
6V0L_GMP,39.049652,-14.433372,TN
6V0L_cGMP,-20.176058,14.294179,TN
6VA2_Amatantrone,-19.117876,-25.634098,TP
6VA2_Neamine,22.411383,-4.842023,TN
7A3Y,31.343765,-18.40641,TP
7E9I,-9.013658,-23.69253,FP
7EOP,40.08725,-14.037108,TP
7OA3,-24.48159,1.1339732,TP
7PNG,-6.702527,-20.606794,TP
7RWR,30.264528,-18.701168,TP
7SXP_Compound_2,-24.956629,-7.962412,TP
7SXP_Compound_6,-7.2786355,-28.798412,TP
7TZS_Molecule_35,-10.856396,-17.570288,TN
7TZS_Molecule_6,-17.662945,9.241223,TN
7WGW,-19.698278,-9.044237,TN
7WIE,-26.63919,-10.485335,TN
7XD5_3-guanidinic_propionic_acid,-31.064806,-6.4148684,TN
7XD5_D_arginine,39.14759,-12.100294,TN
7XD5_Guanyl-Urea,-19.185751,-26.397991,TN
7XD5_L-homoarginine,4.592674,23.075764,TN
8ABD_PIQ-4m,7.587248,-1.7048278,TP
8D28_Compound_10,-0.7400627,4.439884,TN
8D28_Compound_24,22.040152,-9.639401,TN
8D28_Compound_36,10.695305,-1.4627092,TN
8D28_Compound_7,-3.7545788,16.985033,FN
8D5L,-30.707594,-19.79316,TP
8D5O,-21.555515,12.114543,TP
8FI0,47.817795,5.8299103,FP
8T7B,-38.2018,4.572683,TP
8TBO,29.134295,5.7380953,TP
8XZW_Folinic_acid,14.424016,-24.131023,TN
8YAN,-33.16959,19.627266,FP
