tSNE1,tSNE2,Split,Folder,NA_Type
-16.75915,-3.4628732,Total,2MB3_telomestatin,DNA
-14.989089,-2.92522,Total,4QIO,DNA
9.809859,-45.6647,Strat,4U8A_cmpnd_18,DNA
-39.10674,5.865193,Total,7WGW_dGMP,DNA
-36.104553,9.275714,Strat,1FTD_Compound_2,DNA
-36.2793,6.601784,Total,8FDR,DNA
-39.253815,5.5081005,Total,1NZM,DNA
-39.366455,6.2229605,Total,2MND,DNA
-17.460669,3.0875585,Total,2JT7,DNA
-2.2394106,-18.638329,Total,2K4L_Rutin,DNA
-32.168354,5.3530073,Total,1L1V,DNA
-31.554052,7.7332664,Total,6J0H,DNA
-38.2018,4.572683,Total,8T7B,DNA
14.510356,-17.066126,Total,1DL8_Compound_10,DNA
14.694392,-17.297033,Total,2JWQ_Compound_19,DNA
-7.961213,-34.199398,Total,3SC8_BMSG-SH-2,DNA
-7.098103,-34.802372,Total,6V0L_dGTP,DNA
-30.505928,6.3027706,Total,7WGW_GDP,DNA
7.202853,-44.88156,Total,4HIV,DNA
-30.758087,4.675477,Strat,6K3Y_d(GT),DNA
6.950602,-44.93786,Total,7Z9P,DNA
-14.030508,-13.47639,Total,2K4L_sibiromycin,DNA
-7.0288363,-8.064557,Total,6IJV,DNA
-26.59368,3.4112954,Total,1QV8,DNA
23.456177,-13.117338,Total,3SC8,DNA
39.595516,-10.746169,Total,1DL8_Compound_11,DNA
-18.610865,39.092186,Total,2JWQ_Compound_18,DNA
4.3710933,-3.7667384,Total,2JWQ_Compound_20,DNA
-2.3442972,30.811554,Total,2OEY,DNA
38.10532,-11.6663,Total,2JWQ_Compound_11,DNA
25.254288,12.839061,Total,2B0K,DNA
-5.160124,32.473793,Total,7WGW_GMP,DNA
50.62412,3.816922,Strat,2N96,DNA
47.817795,5.8299103,Total,8FI0,DNA
47.809162,6.4303718,Total,8T7X,DNA
51.586567,4.3950644,Total,8T80,DNA
48.672325,3.7885928,Total,6F3C,DNA
-32.110363,-22.375484,Strat,7KWK,DNA
31.164806,17.87066,Total,7WGW_guanine,DNA
-11.343043,-0.14192158,Strat,2JWQ_compound_6,DNA
-16.616194,-31.820585,Total,3OJS,DNA
-16.37111,-25.0503,Total,1R4E,DNA
-34.742393,-2.8576603,Total,6KXZ,DNA
3.2510896,-8.827945,Total,1QV4_Hoechst_33258,DNA
4.717213,-1.0213503,Total,2ARG,DNA
-33.307014,-8.998781,Total,1DL8_Compound_5,DNA
-6.702527,-20.606794,Total,7PNG,DNA
49.49025,5.2791157,Strat,1QMS,DNA
50.43326,5.25651,Total,8TC6,DNA
7.859951,-9.341064,Total,3UYH_3g,DNA
27.87053,-9.938698,Total,1ZTT,DNA
-0.86111677,32.232483,Total,6K3Y_d(TG),DNA
13.292726,15.187849,Total,3U08_DB1944,DNA
15.098853,14.175048,Total,2K4L,DNA
13.921165,14.983304,Total,2MS6_Rutin,DNA
1.2339797,45.264786,Strat,1DL8_Compound_4,DNA
-4.6977572,9.616963,Total,4FXM,DNA
-2.9004242,36.122276,Total,1PQQ,DNA
-1.1938655,28.138239,Total,2JWQ_compound_9,DNA
-3.8000002,36.09798,Strat,1X26,DNA
-6.023933,36.091312,Total,1DL8_Compound_3,DNA
24.817034,17.471508,Total,2GYX_DB613,DNA
30.84084,8.630309,Strat,2JWQ_compound_7,DNA
-8.69603,33.825336,Total,2OEY_NCSi-gb,DNA
-9.978353,31.068686,Total,3UYH_3a,DNA
38.02267,-13.20037,Total,3UYH_3f,DNA
39.049652,-14.433372,Total,6V0L_GMP,DNA
5.5245085,22.68909,Total,8F1S,DNA
-20.176058,14.294179,Total,6V0L_cGMP,DNA
42.844646,-9.985526,Total,3UYH_3h,DNA
41.728756,-7.484156,Total,2KVY,DNA
17.299551,-30.51549,Total,3QSC,DNA
-34.934437,-10.568015,Total,5ET2,DNA
-6.7315435,31.345263,Total,6JJ0,DNA
15.803116,4.418541,Total,6V0L_guanine,DNA
17.143234,7.036432,Total,2GYX,DNA
16.726683,21.042551,Total,7W9N,DNA
-12.163875,29.524881,Total,4U8B,DNA
12.101558,29.053436,Total,7YVW,DNA
-5.7799983,33.42436,Total,8TA8,DNA
-10.528365,32.258537,Total,2K4L_Quercetin,DNA
-12.760965,14.926798,Total,8IF5,DNA
-12.84751,14.577721,Total,2LOA,DNA
30.581429,7.9267273,Total,7WGW_GTP,DNA
29.062866,6.8604417,Total,316D,DNA
-18.741331,-3.5869167,Strat,6V0L_dG,DNA
-32.049374,-25.23525,Total,1FTD_Hoechst 33258,DNA
-35.87262,-16.689785,Total,7N7D,DNA
29.134295,5.7380953,Total,8TBO,DNA
35.46778,-9.525598,Total,1FMS,DNA
25.246872,16.189644,Total,4U8C,DNA
3.8932848,27.015007,Total,3U05,DNA
-10.251136,3.674597,Total,8TA9,DNA
7.5307336,17.997005,Total,454D,DNA
6.8556857,-29.013838,Total,8TB8,DNA
-25.579063,-4.064819,Total,4U8A_cmpnd_7,DNA
-19.030058,-12.373338,Total,7X8M_Quindoline_CK1-14,DNA
-30.248007,-6.292161,Total,4U8A_cmpnd_9,DNA
-30.024214,-5.825735,Total,2JWQ,DNA
-0.00560492,-11.677487,Total,7KU4,DNA
5.460164,11.465938,Total,7MSV,DNA
0.7830305,5.1269574,Total,2MB3,DNA
-21.34798,19.145496,Total,4U8A_cmpnd_14,DNA
6.290474,-31.069408,Total,4U8A_cmpnd_13,DNA
-10.83942,-17.642195,Total,2B0K_DB911,DNA
-16.452278,-32.28011,Total,4U8A_cmpnd_8,DNA
26.687334,9.737881,Total,6KN4,DNA
-1.0133888,28.930569,Total,7WGW_G,DNA
-3.314376,27.166153,Total,2MG8,DNA
-1.7543725,27.503216,Total,4U8A_cmpnd_12,DNA
1.4723507,-3.281876,Total,4U8A_cmpnd_15,DNA
3.259747,-3.166073,Total,6JWD,DNA
-11.025582,7.6529713,Total,8FHZ,DNA
3.3213851,9.332316,Total,1EEL,DNA
-19.698278,-9.044237,Total,7WGW,DNA
0.8130107,13.8276615,Total,7X8M_Aniline_analog_6,DNA
11.866115,5.0982585,Total,6V0L_GTP,DNA
30.711271,17.4611,Total,3M8R,DNA
29.445953,15.867986,Total,4G0F,DNA
30.018795,16.557896,Total,2MS6_Luteolin,DNA
-4.2970138,24.371075,Total,5CDB,DNA
-6.3220954,9.211542,Total,2JWQ_Compound_13,DNA
-24.668726,-11.674998,Total,1FTD,DNA
-18.693914,13.124071,Total,6SX3,DNA
-16.610489,12.402223,Total,3T5E,DNA
-18.10132,19.107283,Strat,316D_AMD,DNA
8.275534,-41.720356,Total,365D,DNA
-32.682392,21.472807,Total,1QV4,DNA
-0.39069995,1.317837,Total,3M8S,DNA
-10.431059,9.258276,Total,6S15,DNA
24.482124,37.32406,Total,1DL8_Compound_12,DNA
23.540329,36.99248,Strat,7WGW_acyclovir,DNA
25.485687,33.844666,Total,6KFI,DNA
22.898548,36.47553,Total,2JWQ_Compound_12,DNA
24.567759,36.117996,Total,2JWQ_compound_15,DNA
46.157475,-12.836536,Total,1QV4_Hoechst_33342,DNA
-32.864937,-2.8637805,Total,5LIG,DNA
-8.049639,9.633261,Total,3UYH_3c,DNA
-11.3073435,26.307467,Total,1LEJ,DNA
-11.261348,25.909958,Total,1EEL_DB226,DNA
-6.5975494,21.349247,Total,8WU5,DNA
-7.574804,23.688702,Total,1DL8,DNA
-3.4491267,-5.227403,Strat,209D,DNA
-17.154125,-19.70523,Total,1FMQ_Cyclopentyl,DNA
-25.224083,32.086506,Total,3OJS_DTTP,DNA
-26.112906,32.244305,Total,1DL8_Compound_1,DNA
-10.913213,17.132824,Strat,3UYH_3e,DNA
-14.898729,12.026842,Total,3CE5,DNA
13.04378,39.871883,Total,3UYH_3b,DNA
25.389063,18.677635,Total,7WGW_dGTP,DNA
8.346792,-13.546127,Total,8IF5_AFG1,DNA
-18.030148,-20.186907,Total,6K3Y_dGTP,DNA
-17.333996,-21.296164,Total,6O2L,DNA
-36.36878,-29.362411,Total,209D_AMD,DNA
1.3777065,21.405931,Total,7PNG_Cryptolepine,DNA
-3.358688,-8.883341,Total,1DL8_Compound_7,DNA
-7.1139627,0.118731536,Total,6V0L,DNA
-6.3835635,-0.60259426,Total,8ABN,DNA
-28.89851,-1.8887366,Strat,1DL8_Compound_9,DNA
-7.280784,-32.789104,Total,8YAM_Compound_6,RNA
-6.897954,-35.365685,Total,"6UC7_2,5,6-TRIAMINO-PYRIMIDINE-4-ONE",RNA
-7.2279744,-35.418987,Strat,"1PBR_N,N-dimethylquinolin-2-amine",RNA
-5.573893,-33.684006,Total,1PBR_Neamine_mimic_2,RNA
-5.498312,-34.211452,Total,2HOK,RNA
10.133405,1.1292028,Total,"1PBR_5,6-dimethyl-1H-1,3-benzodiazol-2-amine",RNA
8.784982,0.5098098,Total,2HOM_phenylacetate_derivative,RNA
10.108236,0.9816419,Total,4LVX,RNA
22.149347,27.630476,Total,8YAM_Compound_1,RNA
7.587248,-1.7048278,Total,8ABD_PIQ-4m,DNA
29.580263,-10.58423,Total,1UUI_benzyl_phenothiazin_der,RNA
23.862123,-11.965046,Strat,2HOL,RNA
23.980156,-12.272584,Total,1PBR_Neamine_mimic_5,RNA
21.805222,-27.542883,Total,5XI1_Diminazine,RNA
-25.201088,-17.474148,Total,5XI1_Luteolin,RNA
-24.941465,-18.78423,Total,5XI1_Quercetin,RNA
-24.500656,-18.910198,Total,1PBR_benzodiazolyl_methyl_sulfanylmethanimidamide,RNA
-25.98268,-18.903332,Total,2ESJ,RNA
-25.061838,-19.511889,Total,1J7T_Streptomycin,RNA
6.598237,-43.083725,Total,1PBR_1-(4-chlorobenzyl)-N-(2-morpholinoethyl)piperidine-4-carboxamide,RNA
-41.261005,-1.2903796,Total,1UUI_2-chloro-10-pyrrolidin_phenothiazine_der,RNA
-25.71235,-18.769543,Strat,1EVV_Protoporphyrin_IX,RNA
-32.042183,-18.454586,Total,"1PBR_8-methyl-3-(2-(pyrrolidin-1-yl)ethyl)-3H-pyrimido[5,4-b]indol-4(5H)-one",RNA
-30.707594,-19.79316,Total,8D5L,RNA
21.79867,-27.55708,Total,1UUI_Bis-3-chloropiperidine_2,RNA
37.247257,-3.3678787,Total,6C65_TO3-B,RNA
12.210713,-26.128777,Total,7OAW,RNA
-33.940865,-16.79372,Total,6P2H,RNA
23.757837,22.009783,Total,1UUI_methoxypiperidin_butyl_der,RNA
36.67615,-4.233594,Total,4LVZ_2-aminopurine,RNA
23.498283,22.14267,Total,7D7Z,RNA
37.48085,-4.5997696,Total,2A04,RNA
38.50832,-2.568962,Total,1PBR_Spiro-compound_4,RNA
37.81518,-5.872262,Total,3JQ4,RNA
14.941036,28.150959,Total,1EVV_Kaempferol,RNA
23.559702,22.111698,Total,7D82,RNA
-29.879965,-13.927214,Total,2FCZ,RNA
-29.825186,-14.202366,Total,4LVV,RNA
38.83165,-3.972592,Total,"1UUI_N,N-dimethyl-3-(10H-phenothiazin-10-yl)propan-1-amine",RNA
37.443974,-4.5097795,Total,"1PBR_4,6-dimethyl-1H-1,3-benzodiazol-2-amine",RNA
37.288578,-3.3936958,Total,1UUI_Bis-3-chloropiperidine_5,RNA
-29.68688,-0.5104789,Total,8HZD,RNA
-30.264442,0.29534167,Strat,2HOP,RNA
21.118488,27.153433,Total,5V0J,RNA
-5.10516,7.0396967,Total,1UUI_netilmicin,RNA
-32.042343,-18.53824,Total,1PBR_N-methylquinolin-2-amine,RNA
-31.506075,-19.30738,Total,3EGZ,RNA
-37.924637,-18.691725,Total,1ARJ,RNA
-33.92885,-20.597246,Total,"1PBR_1,4-bis((1H-indol-3-yl)methyl)piperazine",RNA
-33.655655,-22.181564,Total,2O3V,RNA
-34.56891,-19.348167,Total,2BEE_compound_8,RNA
29.190252,-11.416661,Strat,2B57_7-Deazaguanine,RNA
50.070705,6.7193017,Total,3SUH,RNA
35.825813,-10.324452,Total,2G5K,RNA
22.411383,-4.842023,Total,6VA2_Neamine,RNA
36.063374,-11.444538,Total,7DWH,RNA
-12.4102,30.728334,Total,1PBR_Bifunctional_aminoglycoside_derivative_7,RNA
20.605528,27.481363,Strat,1PBR_Neamine_derivative_15,RNA
-18.85355,39.6667,Total,5XI1_Rhodamine,RNA
48.380898,4.8460813,Total,6BFB,RNA
-16.825825,-34.805584,Total,2O3X,RNA
-2.0784066,-17.872509,Total,1MWL,RNA
47.606815,4.4241753,Total,5XI1_Enrofloxacin,RNA
27.358967,-29.631971,Total,5C7W,RNA
-9.300894,-23.46814,Total,6C63,RNA
6.7052383,-14.073988,Total,6WZR_Compound13,RNA
-29.025557,8.2085285,Total,4NYC,RNA
-25.878347,0.5727724,Total,8HZJ,RNA
-16.122746,-10.565507,Total,1UUI_sisomicin,RNA
-13.689789,0.74509203,Total,2BEE,RNA
-18.764223,0.17306672,Total,4ERJ_lysine-glycine,RNA
-10.422854,-4.2534723,Total,5UEE,RNA
-19.37535,2.5263574,Total,7MKT,RNA
-20.217562,3.5794365,Strat,1PBR_2-nitro-5-(piperazin-1-yl)-N-(2-(o-tolyloxy)ethyl)aniline,RNA
-19.67744,-0.99100816,Total,4NYD,RNA
-14.8839445,-6.6970563,Total,6C64,RNA
-16.667953,-5.7718077,Total,2KU0,RNA
-13.826064,-5.889159,Total,7A3Y_COP,RNA
-13.075821,-7.4607615,Total,4ERJ_N-ε-iminoethyl_lysine,RNA
-18.478834,2.0282362,Total,1PBR_Spiro-compound_5,RNA
-12.193042,-10.374638,Total,4LVW,RNA
-14.455237,1.0591162,Total,1UUI_WM5,RNA
-12.155522,-10.498998,Total,1ZZ5_paromomycin,RNA
-21.724976,2.960858,Strat,1PBR_dihydroquinoline-3-carboxamide_derivative,RNA
-10.608522,-6.4952006,Total,1EVV_Paromomycin_mol_mol,RNA
-12.025493,-6.555812,Total,1PBR_2-(hydroxymethyl)-5-(5-phenyl-4-(quinolin-3-yl)-1H-imidazol-2-yl)phenol,RNA
-19.13419,3.0887272,Total,7OAV,RNA
-20.024418,0.65831286,Total,8YAM_Compound_9,RNA
-14.256428,0.9983112,Strat,8D28_caffeine,RNA
-15.461772,0.52384967,Total,4ZNP,RNA
-15.923661,-7.828084,Total,8XZW_folic_acid,RNA
-14.398979,0.4454253,Total,6QN3,RNA
-24.48159,1.1339732,Strat,7OA3,RNA
-13.134681,-7.6756973,Total,4LVY,RNA
-21.933834,0.038345434,Total,1PBR_Neamine_mimic_4,RNA
-16.611536,-5.0904803,Total,2HOM,RNA
13.190178,-8.883011,Total,7OAX,RNA
13.137531,-8.854083,Total,8YAM_Compound_7,RNA
13.549346,-8.667475,Total,4ERJ_N-ε-formyl_lysine,RNA
29.37879,-21.90411,Total,2HOJ,RNA
28.682053,-21.00928,Strat,"4LVZ_6,7-dimethyl-tetrahydrobiopterin",RNA
31.312592,-21.015207,Total,1PBR_Neamine_mimic_3,RNA
31.623718,-23.054672,Total,5UED,RNA
28.36552,-21.771927,Total,5XI1_Puerarin,RNA
29.088228,-23.550993,Total,5XI1_Nitidine_Cl,RNA
29.665127,-22.747734,Total,6C65,RNA
32.989487,-24.240473,Total,8HZL,RNA
29.400434,-20.270395,Total,5XI1_Paromomycinsulphate,RNA
27.248032,-21.612806,Strat,5C45_FMN,RNA
18.06562,-6.3100944,Total,5C45,RNA
17.633825,-6.6730404,Total,7D12,RNA
29.277359,-16.145893,Total,8HZK,RNA
-14.087149,-3.2022288,Total,6WZR_Compound12,RNA
25.965866,-23.052208,Total,4NYB,RNA
26.689594,-24.239542,Total,1UUI_Usnic_acid,RNA
35.373756,-28.186653,Total,1EVV_Delfinidin,RNA
35.135574,-27.471224,Total,1PBR_Neamine_derivative_14,RNA
34.05681,-27.970379,Total,1PBR_Bifunctional_aminoglycoside_derivative_6,RNA
35.264446,-27.738123,Total,5V0K,RNA
3.0975358,10.198327,Total,1UUI_Compound_3ab,RNA
27.592308,-17.951096,Total,1Y27_purine,RNA
14.424016,-24.131023,Total,8XZW_Folinic_acid,RNA
13.81968,-24.310587,Strat,7XD5_6-guanidinic_caproic_acid,RNA
14.812546,-21.537523,Total,8HZE,RNA
14.773827,-21.738771,Total,3GAO,RNA
14.258219,-22.43648,Total,1PBR_Bifunctional_aminoglycoside_derivative_1,RNA
14.604214,-22.911121,Total,8OLV,RNA
14.546383,-23.44847,Strat,1PBR_Neamine,RNA
14.040185,-23.907736,Total,3Q3Z,RNA
22.595793,-21.648472,Total,2O3W,RNA
33.52938,-22.947155,Total,"1UUI_N,N-dimethyl-3-(2-(trifluoromethyl)-10H-phenothiazin-10-yl)propan-1-amine",RNA
32.258568,-19.50602,Total,6BFB_roseoflavin,RNA
28.900494,-16.574612,Total,1PBR_Neomycin,RNA
30.264528,-18.701168,Total,7RWR,RNA
31.343765,-18.40641,Total,7A3Y,RNA
-17.910728,-3.2183986,Total,2XO1,RNA
10.373551,-5.9600515,Total,1PBR_Ether_paromomycin_derivative_1,RNA
12.108687,-5.1364045,Total,1PBR_Spiro-ether_compound_7,RNA
11.901811,-5.231685,Total,4Q9Q_MFHBI,RNA
18.704243,-4.7086077,Strat,1PBR_Aminoglycoside_derivative_1,RNA
-20.959843,-0.29668275,Total,3SKL,RNA
-11.544034,-6.490671,Total,3MUV,RNA
-23.14219,3.5337083,Total,3TZR_Compd_35,RNA
-20.643946,2.492548,Total,6VA2_Compound10,RNA
-20.050646,3.386104,Total,4TS0,RNA
-19.200232,2.9303534,Total,8D28_Compound_12,RNA
-20.08876,4.9586635,Total,1PBR_Aminoglycoside_derivative_6,RNA
-16.110872,-10.571316,Total,8XZN,RNA
-18.923908,3.6226952,Total,"1PBR_pyran-3,4-diol_derivative",RNA
-21.946253,1.3131298,Strat,1AJU_agmatine,RNA
-20.62634,-1.2204412,Total,3TZR_Compd_32,RNA
16.847084,-8.678194,Total,6UBU_8-aminohypoxanthine,RNA
13.175378,-3.406207,Total,1PBR_benzimidazole_analog_rRNA_45,RNA
9.503544,-42.361996,Total,4KQY,RNA
11.161879,-4.3309193,Total,1PBR_Perazidoparomomycin_derivative_2,RNA
12.32279,-4.071327,Total,7XD5_l_arginine_methyl_ester,RNA
24.180872,-19.848335,Total,1YRJ,RNA
9.188304,-42.946587,Total,6UP0,RNA
5.253587,8.865587,Total,8D28_Compound_23,RNA
5.316897,8.82377,Total,5NPM,RNA
9.429852,-42.622402,Total,"1PBR_N,N,4-trimethylquinolin-2-amine",RNA
24.485607,-19.139118,Total,1PBR_methylpyridine_der_1,RNA
9.343295,-42.503223,Total,1EHT_cafffeine,RNA
23.464403,-16.048826,Total,7TZS_Molecule_12,RNA
24.422453,-20.675398,Total,1PBR_Perazidoparomomycin_derivative_5,RNA
23.627378,-21.943375,Total,1PBR_Benzimidazole_16S_A-site_RNA,RNA
20.478376,-8.22667,Total,8RUJ,RNA
19.057045,-8.481984,Total,7XD5_Neomycin,RNA
19.119307,-8.269681,Total,5XI1_Amodiaquine_di_Hcl,RNA
19.950209,-8.125753,Total,1PBR_methylpyridine_der_6,RNA
19.715769,-7.3545117,Total,"1PBR_2-N,2-N,4-trimethylquinoline-2,7-diamine",RNA
22.040152,-9.639401,Total,8D28_Compound_24,RNA
21.274052,-8.643103,Total,1PBR_Aminoglycoside_derivative_33,RNA
21.76798,-9.403807,Total,1PBR_Aminoglycoside_derivative_8,RNA
29.370367,-17.512873,Total,3MUM,RNA
-13.272154,-3.8665514,Strat,1PBR_Perazidoparomomycin_derivative_16,RNA
23.248571,27.06252,Total,2LWK,RNA
29.733784,-17.196766,Total,1PBR_benzimidazole_analog_rRNA_29,RNA
30.801336,-16.692526,Total,3S4P_17,RNA
32.21725,-22.418507,Total,1UUI_DB60,RNA
33.30039,-21.808565,Total,1EVV_TMAP,RNA
32.09991,-21.362429,Total,3S4P_28,RNA
33.902832,-18.68845,Total,8T5O,RNA
27.590897,-19.73404,Total,8XZR,RNA
32.31427,-22.444016,Total,1PBR_benzimidazole_analog_rRNA_16,RNA
13.213478,-41.58688,Total,4LVZ_Lometrexol,RNA
33.231224,-18.649796,Total,6UBU_N2-isobutyrylguanine,RNA
35.0292,-20.676132,Total,1Q8N,RNA
30.845228,-20.234163,Total,1PBR_Perazidoparomomycin_derivative_11,RNA
33.071392,-20.231682,Total,3DIX,RNA
13.198763,-41.588696,Total,3NPQ_Adenine,RNA
30.897577,-24.028349,Strat,1PBR_benzimidazole_analog_rRNA_11,RNA
34.84792,-20.786507,Total,1UUI_Butirosin,RNA
30.247532,-21.296738,Total,1AJU_l-citrulline,RNA
29.70096,-20.85754,Total,8R62,RNA
32.257862,-16.806042,Strat,1PBR_benzimidazole_analog_rRNA_18,RNA
37.823376,-22.354298,Total,3S4P_26,RNA
30.528738,-17.814863,Total,4RZD,RNA
30.39429,-20.088821,Total,1PBR_Perazidoparomomycin_derivative_27,RNA
30.723047,-19.390995,Total,7XD5_L_arginine,RNA
37.829205,-22.344341,Total,3S4P_19,RNA
16.419662,-6.8819733,Total,1PBR_benzimidazole_analog_rRNA_27,RNA
17.040178,-6.1538134,Total,1PBR_Perazidoparomomycin_derivative_18,RNA
15.812451,-7.7039843,Total,1PBR_Perazidoparomomycin_derivative_20,RNA
16.146816,-7.760416,Total,1LVJ,RNA
16.289745,-8.3253,Total,1UUI_chloro_methylpiperazinyl_propyl_phenothiazine_der,RNA
10.966549,-43.18368,Total,5XI1_Palmatin_Chloride_Hydrate,RNA
12.08842,-42.695187,Total,7KVT,RNA
11.467143,-43.232475,Total,5XI1_DAPI,RNA
16.250813,-5.0652943,Strat,7SXP_Compound_24,RNA
14.468802,-6.072479,Total,4QLM,RNA
14.183458,-4.763498,Total,1PBR_Halogen_substituted_benzimidazole,RNA
13.472486,-5.611552,Total,1RAW,RNA
14.498046,-4.349389,Strat,7TZS_Molecule_13,RNA
14.434075,-4.6145687,Total,1UUI_S-Amino_acid_conjugate_1b,RNA
15.628198,-3.5984805,Total,1PBR_Perazidoparomomycin_derivative_4,RNA
15.056041,-4.54542,Total,8D28_Compound_25,RNA
16.569857,-3.3414662,Total,1PBR_Aminoglycoside_derivative_9,RNA
22.498493,27.542585,Total,3FO4,RNA
35.02422,-17.924572,Total,1UUI_10-(3-(dimethylamino)propyl)-10H-phenothiazin-4-ol,RNA
29.588497,-14.963372,Total,1PBR_methylpyridine_der_7,RNA
-12.240634,-3.9135673,Total,7TZS_Molecule_14,RNA
-13.171647,-4.704904,Total,"1PBR_4,6-bis(piperidin-1-ylmethyl)-2-p-tolylpyridin-3-ol",RNA
-13.44901,-4.4514546,Strat,1PBR_Perazidoparomomycin_derivative_3,RNA
-15.619404,-2.591127,Total,1PBR_benzimidazole_analog_rRNA_44,RNA
-16.877594,-3.0670962,Total,1BYJ_Gentamicin_c1,RNA
8.20397,-42.86403,Total,1PBR_Spiro-ether_compound_8,RNA
-16.88508,-2.9838784,Total,8D28_Compound_22,RNA
-15.398335,-1.7541553,Total,1PBR_Spiro-ether_compound_1,RNA
-14.49999,-1.2950913,Total,8XZO,RNA
-14.592701,-1.8984451,Total,3TZR_Compd_33,RNA
-18.485308,4.3873835,Total,7E9I_PreQ1,RNA
8.778231,-45.252136,Strat,8D28_Compound_14,RNA
9.200886,-46.78118,Total,7WIE_6-Biopterin,RNA
9.4817,-46.27807,Total,2XO0,RNA
-37.211002,7.3370986,Total,4ERJ,RNA
-39.113037,6.0564556,Total,1PBR_Spiro-ether_compound_6,RNA
-36.57259,9.233121,Total,6VA2_Compound11,RNA
-36.187416,8.651211,Total,8D28_Compound_13,RNA
-35.587574,8.018919,Total,5XI1_Tetracycline_Hcl,RNA
-36.37678,7.3767195,Total,7Q81_guanine,RNA
-35.683784,7.2869825,Total,2TOB,RNA
-35.778687,6.3762045,Total,3TZR_Compd_34,RNA
-11.222751,-3.682062,Total,3S4P_20,RNA
-36.69822,8.514818,Total,7XD5_deoxy_Guanosine,RNA
-37.396664,9.010028,Strat,1PBR_Perazidoparomomycin_derivative_21,RNA
-36.49287,6.8220224,Total,1PBR_benzimidazole_analog_rRNA_21,RNA
-41.252064,-1.2665505,Total,1UUI_DMA-179,RNA
-12.910584,-1.807588,Total,4KQY_SAH,RNA
-12.452443,-1.809157,Strat,5XI1_Myricetin,RNA
-12.633362,-2.9587677,Total,7SXP_Compound_25,RNA
-12.363678,-2.2440014,Total,6TFE,RNA
-12.119567,-4.019014,Total,1PBR_Perazidoparomomycin_derivative_26,RNA
-22.976755,5.127512,Total,8R63,RNA
-21.997843,4.4864006,Total,1PBR_Perazidoparomomycin_derivative_19,RNA
-12.353821,-6.039424,Total,4K31_Apramycin,RNA
-20.321995,0.2657917,Total,3E5F,RNA
-17.348053,3.2966404,Total,7XD5_creatinine,RNA
-17.398434,2.4080732,Strat,1PBR_benzimidazole_analog_rRNA_26,RNA
-16.494951,3.5749457,Total,1PBR_Perazidoparomomycin_derivative_10,RNA
-15.699,3.0784478,Strat,1UUI_DMA-177,RNA
-17.031837,3.6564636,Total,6HBT_guanidine,RNA
-16.814543,2.815248,Total,1PBR_benzimidazole_analog_rRNA_28,RNA
28.027184,-17.209522,Total,3S4P_16,RNA
11.543939,-12.669485,Total,4ERJ_Methyl-ester_lysine,RNA
-17.029,-34.71247,Total,1UUI_dimethylamino_propyl_phenothiazin_der_2,RNA
29.057816,-11.446408,Total,1PBR_Perazidoparomomycin_derivative_17,RNA
27.342524,-14.90851,Total,3S4P_29,RNA
26.891033,-14.361767,Total,"5XI1_9_amino_1,2,3,4-Tetrahydro_acridine",RNA
24.341373,-13.409841,Total,1PBR_benzimidazole_analog_rRNA_17,RNA
